filename,width,height,class,xmin,ymin,xmax,ymax
staugustinecam.2019-04-28_1400.mp4_frames_29.jpg,1280,720,person,100,203,131,247
staugustinecam.2019-04-28_1400.mp4_frames_29.jpg,1280,720,person,144,185,171,239
staugustinecam.2019-04-28_1400.mp4_frames_29.jpg,1280,720,person,72,505,102,573
staugustinecam.2019-04-28_1400.mp4_frames_29.jpg,1280,720,person,13,610,61,671
staugustinecam.2019-04-28_1400.mp4_frames_29.jpg,1280,720,person,52,605,102,657
staugustinecam.2019-04-28_1400.mp4_frames_29.jpg,1280,720,person,61,629,122,683
staugustinecam.2019-04-28_1400.mp4_frames_29.jpg,1280,720,person,127,642,178,691
staugustinecam.2019-04-28_1400.mp4_frames_29.jpg,1280,720,person,257,525,284,571
staugustinecam.2019-04-28_1400.mp4_frames_29.jpg,1280,720,person,227,519,262,558
staugustinecam.2019-04-28_1400.mp4_frames_29.jpg,1280,720,person,295,525,339,583
staugustinecam.2019-04-28_1400.mp4_frames_29.jpg,1280,720,person,331,495,370,563
staugustinecam.2019-04-28_1400.mp4_frames_29.jpg,1280,720,person,326,541,394,589
staugustinecam.2019-04-28_1400.mp4_frames_29.jpg,1280,720,person,498,529,533,564
staugustinecam.2019-04-28_1400.mp4_frames_29.jpg,1280,720,person,533,534,577,571
staugustinecam.2019-04-28_1400.mp4_frames_29.jpg,1280,720,person,603,511,639,571
staugustinecam.2019-04-28_1400.mp4_frames_29.jpg,1280,720,person,590,536,604,580
staugustinecam.2019-04-28_1400.mp4_frames_29.jpg,1280,720,person,658,531,688,581
staugustinecam.2019-04-28_1400.mp4_frames_29.jpg,1280,720,person,693,529,729,596
staugustinecam.2019-04-28_1400.mp4_frames_29.jpg,1280,720,person,755,514,796,580
staugustinecam.2019-04-28_1400.mp4_frames_29.jpg,1280,720,person,805,495,853,567
staugustinecam.2019-04-28_1400.mp4_frames_29.jpg,1280,720,person,853,534,898,596
staugustinecam.2019-04-28_1400.mp4_frames_29.jpg,1280,720,person,883,531,933,583
staugustinecam.2019-04-28_1400.mp4_frames_29.jpg,1280,720,person,935,573,987,620
staugustinecam.2019-04-28_1400.mp4_frames_29.jpg,1280,720,person,1001,678,1165,718
staugustinecam.2019-04-28_1400.mp4_frames_29.jpg,1280,720,person,1012,558,1092,624
staugustinecam.2019-04-28_1400.mp4_frames_29.jpg,1280,720,person,1041,511,1077,557
staugustinecam.2019-04-28_1400.mp4_frames_29.jpg,1280,720,person,940,516,976,571
staugustinecam.2019-04-28_1400.mp4_frames_29.jpg,1280,720,person,988,514,1017,560
staugustinecam.2019-04-28_1400.mp4_frames_29.jpg,1280,720,person,1130,499,1144,570
staugustinecam.2019-04-28_1400.mp4_frames_29.jpg,1280,720,person,1088,544,1131,584
staugustinecam.2019-04-28_1400.mp4_frames_29.jpg,1280,720,person,1144,486,1177,557
staugustinecam.2019-04-28_1400.mp4_frames_29.jpg,1280,720,person,1175,495,1204,553
staugustinecam.2019-04-28_1400.mp4_frames_29.jpg,1280,720,person,1221,494,1250,551
staugustinecam.2019-04-28_1400.mp4_frames_29.jpg,1280,720,person,1186,508,1231,586
staugustinecam.2019-04-28_1400.mp4_frames_29.jpg,1280,720,person,1253,525,1279,635
staugustinecam.2019-01-13_1100.mp4_frames_33.jpg,1280,720,person,510,516,529,544
staugustinecam.2019-01-13_1100.mp4_frames_33.jpg,1280,720,person,1008,408,1024,425
staugustinecam.2019-01-13_1100.mp4_frames_33.jpg,1280,720,person,120,205,135,243
staugustinecam.2019-01-13_1100.mp4_frames_33.jpg,1280,720,person,78,482,118,541
staugustinecam.2019-01-13_1100.mp4_frames_33.jpg,1280,720,person,120,484,166,544
staugustinecam.2019-01-13_1100.mp4_frames_33.jpg,1280,720,person,463,505,511,553
staugustinecam.2019-01-13_1100.mp4_frames_33.jpg,1280,720,person,874,510,902,555
staugustinecam.2019-01-13_1100.mp4_frames_33.jpg,1280,720,person,858,544,907,603
staugustinecam.2019-01-13_1100.mp4_frames_33.jpg,1280,720,person,909,510,944,557
staugustinecam.2019-01-13_1100.mp4_frames_33.jpg,1280,720,person,979,520,1010,555
staugustinecam.2019-01-13_1100.mp4_frames_33.jpg,1280,720,person,1006,529,1034,562
staugustinecam.2019-01-13_1100.mp4_frames_33.jpg,1280,720,person,1114,404,1135,437
staugustinecam.2019-01-13_1100.mp4_frames_33.jpg,1280,720,person,1205,403,1274,429
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,378,624,429,720
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,584,616,621,671
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,564,655,629,715
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,666,671,721,718
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,920,616,971,684
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,971,644,1054,691
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,1178,646,1227,705
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,1226,646,1265,700
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,1221,573,1264,633
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,1151,572,1181,628
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,1056,593,1136,633
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,1073,560,1126,605
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,1181,471,1213,510
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,1243,463,1279,503
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,1213,540,1235,563
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,1175,536,1216,567
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,892,541,919,575
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,926,488,954,537
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,956,488,983,538
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,732,546,760,590
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,697,544,721,596
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,675,518,694,590
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,643,532,663,592
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,232,620,280,667
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,192,631,226,659
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,62,560,78,592
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,20,503,36,531
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,88,564,96,594
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,110,544,132,594
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,127,547,157,593
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,226,503,249,541
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,202,484,218,514
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,196,549,226,588
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,267,538,287,605
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,292,537,319,600
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,330,540,351,583
staugustinecam.2019-04-18_1300.mp4_frames_26.jpg,1280,720,person,386,559,422,598
